release	assembly	chromosome	dataset	vcf_count	api_count	delta	status	likely_cause	recommended_action
new	GRCh37	1	gem_j_wga	7543101	7543101	0	match		
new	GRCh37	2	gem_j_wga	7979076	7979074	-2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	3	gem_j_wga	6448888	6448887	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	4	gem_j_wga	6312427	6312426	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	5	gem_j_wga	5873939	5873939	0	match		
new	GRCh37	6	gem_j_wga	5577482	5577481	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	7	gem_j_wga	5418179	5418178	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	8	gem_j_wga	5056403	5056403	0	match		
new	GRCh37	9	gem_j_wga	4267688	4267688	0	match		
new	GRCh37	10	gem_j_wga	4485955	4485953	-2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	11	gem_j_wga	4468415	4468414	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	12	gem_j_wga	4348786	4348786	0	match		
new	GRCh37	13	gem_j_wga	3171640	3171640	0	match		
new	GRCh37	14	gem_j_wga	3011964	3011964	0	match		
new	GRCh37	15	gem_j_wga	2890771	2890771	0	match		
new	GRCh37	16	gem_j_wga	3192190	3192189	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	17	gem_j_wga	2765216	2765215	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	18	gem_j_wga	2492639	2492639	0	match		
new	GRCh37	19	gem_j_wga	2277000	2276999	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	20	gem_j_wga	2031862	2031861	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	21	gem_j_wga	1373709	1373706	-3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	22	gem_j_wga	1348291	1348291	0	match		
new	GRCh37	MT	gem_j_wga	0	0	0	match		
new	GRCh37	X	gem_j_wga	3527816	3527815	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	Y	gem_j_wga	0	0	0	match		
new	GRCh37	1	gnomad_exomes	1707146	1707147	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	2	gnomad_exomes	1230614	1230614	0	match		
new	GRCh37	3	gnomad_exomes	958850	958850	0	match		
new	GRCh37	4	gnomad_exomes	642129	642129	0	match		
new	GRCh37	5	gnomad_exomes	740678	740678	0	match		
new	GRCh37	6	gnomad_exomes	835212	835212	0	match		
new	GRCh37	7	gnomad_exomes	845891	845891	0	match		
new	GRCh37	8	gnomad_exomes	621220	621220	0	match		
new	GRCh37	9	gnomad_exomes	713431	713431	0	match		
new	GRCh37	10	gnomad_exomes	665745	665745	0	match		
new	GRCh37	11	gnomad_exomes	1044543	1044543	0	match		
new	GRCh37	12	gnomad_exomes	889014	889014	0	match		
new	GRCh37	13	gnomad_exomes	287655	287655	0	match		
new	GRCh37	14	gnomad_exomes	589647	589647	0	match		
new	GRCh37	15	gnomad_exomes	611216	611216	0	match		
new	GRCh37	16	gnomad_exomes	866022	866022	0	match		
new	GRCh37	17	gnomad_exomes	1031902	1031902	0	match		
new	GRCh37	18	gnomad_exomes	253290	253290	0	match		
new	GRCh37	19	gnomad_exomes	1231680	1231680	0	match		
new	GRCh37	20	gnomad_exomes	429586	429586	0	match		
new	GRCh37	21	gnomad_exomes	187702	187702	0	match		
new	GRCh37	22	gnomad_exomes	416866	416866	0	match		
new	GRCh37	MT	gnomad_exomes	0	0	0	match		
new	GRCh37	X	gnomad_exomes	403070	403070	0	match		
new	GRCh37	Y	gnomad_exomes	6862	6862	0	match		
new	GRCh37	1	gnomad_genomes	20370889	20370890	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	2	gnomad_genomes	21892242	21892245	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	3	gnomad_genomes	17834352	17834355	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	4	gnomad_genomes	17423639	17423639	0	match		
new	GRCh37	5	gnomad_genomes	16290653	16290654	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	6	gnomad_genomes	15190442	15190442	0	match		
new	GRCh37	7	gnomad_genomes	14752321	14752321	0	match		
new	GRCh37	8	gnomad_genomes	14073574	14073574	0	match		
new	GRCh37	9	gnomad_genomes	11480614	11480614	0	match		
new	GRCh37	10	gnomad_genomes	12118745	12118750	5	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	11	gnomad_genomes	12345490	12345492	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	12	gnomad_genomes	11933433	11933435	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	13	gnomad_genomes	8693570	8693573	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	14	gnomad_genomes	8220638	8220638	0	match		
new	GRCh37	15	gnomad_genomes	7723667	7723667	0	match		
new	GRCh37	16	gnomad_genomes	8618654	8618657	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	17	gnomad_genomes	7373817	7373819	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	18	gnomad_genomes	6893751	6893751	0	match		
new	GRCh37	19	gnomad_genomes	5991868	5991870	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	20	gnomad_genomes	5516836	5516836	0	match		
new	GRCh37	21	gnomad_genomes	3482998	3483000	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	22	gnomad_genomes	3567084	3567085	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	MT	gnomad_genomes	0	0	0	match		
new	GRCh37	X	gnomad_genomes	10153029	10153029	0	match		
new	GRCh37	Y	gnomad_genomes	0	0	0	match		
new	GRCh37	1	jga_snp	99374	99374	0	match		
new	GRCh37	2	jga_snp	100928	100928	0	match		
new	GRCh37	3	jga_snp	85641	85641	0	match		
new	GRCh37	4	jga_snp	77187	77187	0	match		
new	GRCh37	5	jga_snp	78156	78156	0	match		
new	GRCh37	6	jga_snp	86833	86833	0	match		
new	GRCh37	7	jga_snp	67891	67891	0	match		
new	GRCh37	8	jga_snp	67772	67772	0	match		
new	GRCh37	9	jga_snp	60025	60025	0	match		
new	GRCh37	10	jga_snp	67000	67000	0	match		
new	GRCh37	11	jga_snp	63025	63025	0	match		
new	GRCh37	12	jga_snp	61276	61276	0	match		
new	GRCh37	13	jga_snp	47596	47596	0	match		
new	GRCh37	14	jga_snp	40651	40651	0	match		
new	GRCh37	15	jga_snp	38091	38091	0	match		
new	GRCh37	16	jga_snp	39188	39188	0	match		
new	GRCh37	17	jga_snp	31153	31153	0	match		
new	GRCh37	18	jga_snp	37364	37364	0	match		
new	GRCh37	19	jga_snp	21256	21256	0	match		
new	GRCh37	20	jga_snp	31427	31427	0	match		
new	GRCh37	21	jga_snp	18204	18204	0	match		
new	GRCh37	22	jga_snp	16423	16423	0	match		
new	GRCh37	MT	jga_snp	5	0	-5	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
