release	assembly	chromosome	dataset	vcf_count	api_count	delta	status	likely_cause	recommended_action
new	GRCh37	2	gem_j_wga	7979076	7979074	-2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	3	gem_j_wga	6448888	6448887	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	4	gem_j_wga	6312427	6312426	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	6	gem_j_wga	5577482	5577481	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	7	gem_j_wga	5418179	5418178	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	10	gem_j_wga	4485955	4485953	-2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	11	gem_j_wga	4468415	4468414	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	16	gem_j_wga	3192190	3192189	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	17	gem_j_wga	2765216	2765215	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	19	gem_j_wga	2277000	2276999	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	20	gem_j_wga	2031862	2031861	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	21	gem_j_wga	1373709	1373706	-3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	X	gem_j_wga	3527816	3527815	-1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	1	gnomad_exomes	1707146	1707147	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	1	gnomad_genomes	20370889	20370890	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	2	gnomad_genomes	21892242	21892245	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	3	gnomad_genomes	17834352	17834355	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	5	gnomad_genomes	16290653	16290654	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	10	gnomad_genomes	12118745	12118750	5	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	11	gnomad_genomes	12345490	12345492	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	12	gnomad_genomes	11933433	11933435	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	13	gnomad_genomes	8693570	8693573	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	16	gnomad_genomes	8618654	8618657	3	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	17	gnomad_genomes	7373817	7373819	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	19	gnomad_genomes	5991868	5991870	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	21	gnomad_genomes	3482998	3483000	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	22	gnomad_genomes	3567084	3567085	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh37	MT	jga_snp	5	0	-5	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
new	GRCh37	MT	jga_wes	224	0	-224	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
new	GRCh37	MT	tommo	3503	0	-3503	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
new	GRCh38	3	gnomad_exomes	10208074	10208076	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	7	gnomad_exomes	9233605	9233607	2	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	8	gnomad_exomes	6800080	6800081	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	11	gnomad_exomes	10526961	10526962	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	13	gnomad_exomes	3549139	3549140	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	16	gnomad_exomes	8785927	8785928	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	20	gnomad_exomes	4616728	4616729	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	22	gnomad_exomes	4845198	4845199	1	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	1	gnomad_genomes	59159992	59160006	14	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	2	gnomad_genomes	62931847	62931878	31	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	3	gnomad_genomes	51234994	51235008	14	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	4	gnomad_genomes	50142307	50142330	23	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	5	gnomad_genomes	46410769	46410785	16	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	6	gnomad_genomes	43703134	43703160	26	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	7	gnomad_genomes	42466650	42466679	29	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	8	gnomad_genomes	39939290	39939308	18	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	9	gnomad_genomes	33833687	33833698	11	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	10	gnomad_genomes	35497568	35497598	30	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	11	gnomad_genomes	35080661	35080671	10	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	12	gnomad_genomes	34332157	34332175	18	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	13	gnomad_genomes	24993762	24993777	15	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	14	gnomad_genomes	23568668	23568672	4	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	15	gnomad_genomes	22225830	22225848	18	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	16	gnomad_genomes	24719904	24719921	17	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	17	gnomad_genomes	21944440	21944455	15	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	18	gnomad_genomes	19467702	19467717	15	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	19	gnomad_genomes	17293254	17293274	20	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	20	gnomad_genomes	16355687	16355695	8	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	21	gnomad_genomes	10958882	10958898	16	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	22	gnomad_genomes	11608132	11608143	11	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	X	gnomad_genomes	30297551	30297561	10	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	MT	jga_snp	4	0	-4	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
new	GRCh38	MT	jga_wes	54	0	-54	api_missing	VCFは存在するがAPI dataset/chromosomeが未投入、alias漏れ、または公開対象外	ETL投入ログ、index、alias、公開対象設定を確認
new	GRCh38	1	jogo	1431050	1431073	23	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	2	jogo	1227307	1227326	19	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
new	GRCh38	3	jogo	1058730	1058734	4	count_mismatch	VCF exportとAPI indexのfilter、normalize、重複排除、または投入状態が不一致	同じdataset/chromosomeのallele集合を段階別に照合
